sent_id	metric	stark_value	syntcomplex_value	syntcomplex_formatted	delta_stark_display_minus_syntcomplex_raw	mismatch_type	stark_tree	stark_example
ssj105.673.2557	MDD	0.00	n/a	n/a		na_vs_numeric	Reuters	A[Reuters] 
ssj105.673.2557	NDD	0.00	n/a	n/a		na_vs_numeric	Reuters	A[Reuters] 
ssj106.677.2568	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct og >punct )	A[(]B[og]C[)] 
ssj106.677.2568	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct og >punct )	A[(]B[og]C[)] 
ssj110.690.2606	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct jal >punct )	A[(]B[jal]C[)] 
ssj110.690.2606	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct jal >punct )	A[(]B[jal]C[)] 
ssj110.691.2610	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct sg >punct )	A[(]B[sg]C[)] 
ssj110.691.2610	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct sg >punct )	A[(]B[sg]C[)] 
ssj114.712.2673	MDD	0.00	n/a	n/a		na_vs_numeric	( <punct ij >punct )	A[(]B[ij]C[)] 
ssj114.712.2673	NDD	0.00	n/a	n/a		na_vs_numeric	( <punct ij >punct )	A[(]B[ij]C[)] 
ssj118.747.2812	MDD	0.00	n/a	n/a		na_vs_numeric	Bolnišnicah >punct ?	A[Bolnišnicah]B[?] 
ssj118.747.2812	NDD	0.00	n/a	n/a		na_vs_numeric	Bolnišnicah >punct ?	A[Bolnišnicah]B[?] 
ssj118.753.2842	MDD	0.00	n/a	n/a		na_vs_numeric	Ne >punct .	A[Ne]B[.] 
ssj118.753.2842	NDD	0.00	n/a	n/a		na_vs_numeric	Ne >punct .	A[Ne]B[.] 
ssj118.756.2852	MDD	0.00	n/a	n/a		na_vs_numeric	» <punct Čudno >punct ! >punct «	A[»]B[Čudno]C[!] D[«] 
ssj118.756.2852	NDD	0.00	n/a	n/a		na_vs_numeric	» <punct Čudno >punct ! >punct «	A[»]B[Čudno]C[!] D[«] 
ssj121.780.2963	MDD	0.00	n/a	n/a		na_vs_numeric	Vendar >punct . >punct . >punct .	A[Vendar] B[.]C[.]D[.] 
ssj121.780.2963	NDD	0.00	n/a	n/a		na_vs_numeric	Vendar >punct . >punct . >punct .	A[Vendar] B[.]C[.]D[.] 
ssj126.802.3034	MDD	0.00	n/a	n/a		na_vs_numeric	Ubil >punct .	A[Ubil]B[.] 
ssj126.802.3034	NDD	0.00	n/a	n/a		na_vs_numeric	Ubil >punct .	A[Ubil]B[.] 
ssj131.826.3144	MDD	0.00	n/a	n/a		na_vs_numeric	Nič >punct .	A[Nič]B[.] 
ssj131.826.3144	NDD	0.00	n/a	n/a		na_vs_numeric	Nič >punct .	A[Nič]B[.] 
ssj131.827.3159	MDD	0.00	n/a	n/a		na_vs_numeric	Ha >punct !	A[Ha]B[!] 
ssj131.827.3159	NDD	0.00	n/a	n/a		na_vs_numeric	Ha >punct !	A[Ha]B[!] 
ssj131.828.3162	MDD	0.00	n/a	n/a		na_vs_numeric	Zasliševanje >punct !	A[Zasliševanje]B[!] 
ssj131.828.3162	NDD	0.00	n/a	n/a		na_vs_numeric	Zasliševanje >punct !	A[Zasliševanje]B[!] 
ssj131.831.3181	MDD	0.00	n/a	n/a		na_vs_numeric	Domnevno >punct !	A[Domnevno]B[!] 
ssj131.831.3181	NDD	0.00	n/a	n/a		na_vs_numeric	Domnevno >punct !	A[Domnevno]B[!] 
