row_no	sent_id	sentence	STARK Number of nodes	SyntComplex # tokens	nodes match?	STARK MDD	SyntComplex MDD raw	SyntComplex MDD rounded like STARK	MDD match?	STARK NDD	SyntComplex NDD raw	SyntComplex NDD rounded like STARK	NDD match?	STARK Max depth	SyntComplex MAXIMUM_TREE_DEPTH	Max depth match?	STARK N clauses	SyntComplex # clauses	N clauses match?	STARK N T-units	SyntComplex # T-units	N T-units match?	STARK Clauses/T-unit	SyntComplex Clauses/T-unit raw	SyntComplex Clauses/T-unit rounded like STARK	Clauses/T-unit match?	STARK example	STARK tree	mismatch note
1	ssj1.1.1	"""Tistega večera sem preveč popil, zgodilo se je mesec dni po tem, ko sem izvedel, da me žena vara."	24	24	yes	2.11	2.111111111111111	2.11	yes	1.59	1.5938512117318888	1.59	yes	7	7	yes	4.00	4	yes	2.00	2	yes	2.00	2.0	2.00	yes	"A[""]B[Tistega] C[večera] D[sem] E[preveč] F[popil]G[,] H[zgodilo] I[se] J[je] K[mesec] L[dni] M[po] N[tem]O[,] P[ko] Q[sem] R[izvedel]S[,] T[da] U[me] V[žena] W[vara]X[.] "	""" <punct (Tistega <det večera) <obl sem <aux preveč <advmod popil >parataxis (, <punct zgodilo >expl se >aux je >obl (mesec >nmod dni >nmod (po <case tem >acl (, <punct ko <mark sem <aux izvedel >ccomp (, <punct da <mark me <obj žena <nsubj vara))))) >punct ."	
2	ssj1.1.2	Dogodek v Ankaranu je bila dramatična nesreča.	8	8	yes	2.83	2.8333333333333335	2.83	yes	0.15	0.14557414021413373	0.15	yes	3	3	yes	1.00	1	yes	1.00	1	yes	1.00	1.0	1.00	yes	A[Dogodek] B[v] C[Ankaranu] D[je] E[bila] F[dramatična] G[nesreča]H[.] 	Dogodek >nmod (v <case Ankaranu) >aux je >cop bila >nsubj (dramatična <amod nesreča) >punct .	
3	ssj1.1.3	Dekle je ob vzvratni vožnji začelo vpiti, da bi jo utišal, sem prijel nož.	17	17	yes	2.69	2.6923076923076925	2.69	yes	1.19	1.187955709316919	1.19	yes	4	4	yes	4.00	4	yes	2.00	2	yes	2.00	2.0	2.00	yes	A[Dekle] B[je] C[ob] D[vzvratni] E[vožnji] F[začelo] G[vpiti]H[,] I[da] J[bi] K[jo] L[utišal]M[,] N[sem] O[prijel] P[nož]Q[.] 	Dekle <nsubj je <aux začelo >xcomp ((ob <case vzvratni <amod vožnji) <obl vpiti) >parataxis ((, <punct da <mark bi <aux jo <obj utišal >punct ,) <advcl sem <aux prijel >obj nož) >punct .	
4	ssj1.1.4	Prišlo je do prerivanja in umrla je.	8	8	yes	2.00	2.0	2.00	yes	0.20	0.20273255405408205	0.20	yes	3	3	yes	2.00	2	yes	2.00	2	yes	1.00	1.0	1.00	yes	A[Prišlo] B[je] C[do] D[prerivanja] E[in] F[umrla] G[je]H[.] 	Prišlo >aux je >obl (do <case prerivanja) >conj (in <cc umrla >aux je) >punct .	
5	ssj1.1.5	Tega se sploh nisem zavedel.	6	6	yes	2.50	2.5	2.50	yes	0.58	0.5815754049028404	0.58	yes	2	2	yes	1.00	1	yes	1.00	1	yes	1.00	1.0	1.00	yes	A[Tega] B[se] C[sploh] D[nisem] E[zavedel]F[.] 	Tega <obj se <expl sploh <advmod nisem <aux zavedel >punct .	
6	ssj1.1.6	"Kaj se je zgodilo, sem izvedel šele naslednjega dne iz časopisja,"" je v intervju za Stampo iz Torina izjavil morilec."	24	24	yes	3.00	3.0	3.00	yes	1.92	1.9191284275942684	1.92	yes	5	5	yes	3.00	3	yes	1.00	1	yes	3.00	3.0	3.00	yes	"A[Kaj] B[se] C[je] D[zgodilo]E[,] F[sem] G[izvedel] H[šele] I[naslednjega] J[dne] K[iz] L[časopisja]M[,]N[""] O[je] P[v] Q[intervju] R[za] S[Stampo] T[iz] U[Torina] V[izjavil] W[morilec]X[.] "	"((Kaj <nsubj se <expl je <aux zgodilo >punct ,) <ccomp sem <aux izvedel >obl (šele <advmod naslednjega <amod dne) >obl (iz <case časopisja) >punct , >punct "") <ccomp je <aux (v <case intervju >nmod (za <case Stampo >nmod (iz <case Torina))) <obl izjavil >nsubj morilec >punct ."	
7	ssj1.1.7	Preiskave med sodnim postopkom so pokazale, da so se dogodki odvijali bistveno drugače.	15	15	yes	2.58	2.5833333333333335	2.58	yes	1.19	1.1892525048108817	1.19	yes	4	4	yes	2.00	2	yes	1.00	1	yes	2.00	2.0	2.00	yes	A[Preiskave] B[med] C[sodnim] D[postopkom] E[so] F[pokazale]G[,] H[da] I[so] J[se] K[dogodki] L[odvijali] M[bistveno] N[drugače]O[.] 	(Preiskave >nmod (med <case sodnim <amod postopkom)) <nsubj so <aux pokazale >ccomp (, <punct da <mark so <aux se <expl dogodki <nsubj odvijali >advmod (bistveno <advmod drugače)) >punct .	
8	ssj1.1.8	Dogodki v prihodnjih mesecih pa bodo pokazali, ali bo morilcu iz Ankarana tokrat uspelo prepričati italijanske pravosodne oblasti.	20	20	yes	2.88	2.8823529411764706	2.88	yes	1.33	1.330954792501354	1.33	yes	5	5	yes	3.00	3	yes	1.00	1	yes	3.00	3.0	3.00	yes	A[Dogodki] B[v] C[prihodnjih] D[mesecih] E[pa] F[bodo] G[pokazali]H[,] I[ali] J[bo] K[morilcu] L[iz] M[Ankarana] N[tokrat] O[uspelo] P[prepričati] Q[italijanske] R[pravosodne] S[oblasti]T[.] 	(Dogodki >nmod (v <case prihodnjih <amod mesecih)) <nsubj pa <advmod bodo <aux pokazali >ccomp (, <punct ali <mark bo <aux (morilcu >nmod (iz <case Ankarana)) <obj tokrat <advmod uspelo >xcomp (prepričati >iobj (italijanske <amod pravosodne <amod oblasti))) >punct .	
9	ssj2.2.9	V bolnišnici bodo uvedli tudi s šolo za starše, ki je namenjena vzgoji in izobraževanju nosečnic in njihovih partnerjev.	21	21	yes	1.83	1.8333333333333333	1.83	yes	1.53	1.5321972559377122	1.53	yes	8	8	yes	2.00	2	yes	1.00	1	yes	2.00	2.0	2.00	yes	A[V] B[bolnišnici] C[bodo] D[uvedli] E[tudi] F[s] G[šolo] H[za] I[starše]J[,] K[ki] L[je] M[namenjena] N[vzgoji] O[in] P[izobraževanju] Q[nosečnic] R[in] S[njihovih] T[partnerjev]U[.] 	(V <case bolnišnici) <obl bodo <aux uvedli >obl (tudi <advmod s <case šolo >nmod (za <case starše) >acl (, <punct ki <mark je <cop namenjena >obj (vzgoji >conj (in <cc izobraževanju >nmod (nosečnic >conj (in <cc njihovih <det partnerjev)))))) >punct .	
10	ssj2.2.10	V bolnišnici so že pred časom pripravili vse potrebno za negovanje bolnikov, pri katerih je bilo zdravljenje končano.	20	20	yes	2.29	2.2941176470588234	2.29	yes	1.56	1.5592134444823345	1.56	yes	7	7	yes	2.00	2	yes	1.00	1	yes	2.00	2.0	2.00	yes	A[V] B[bolnišnici] C[so] D[že] E[pred] F[časom] G[pripravili] H[vse] I[potrebno] J[za] K[negovanje] L[bolnikov]M[,] N[pri] O[katerih] P[je] Q[bilo] R[zdravljenje] S[končano]T[.] 	(V <case bolnišnici) <obl so <aux (že <advmod pred <case časom) <obl pripravili >obj (vse <det potrebno >nmod (za <case negovanje >nmod (bolnikov >acl (, <punct (pri <case katerih) <obl je <aux bilo <cop zdravljenje <nsubj končano)))) >punct .	
