Tree	Absolute frequency	Relative frequency	Order	Number of nodes	Head node	Example	MDD	NDD	Max depth	N clauses	N T-units	Clauses/T-unit
Hvala >amod lepa >punct .	9	41.8	ABC	3	Hvala	A[Hvala] B[lepa]C[.] 	1.00	0.00	2	1.00	1.00	1.00
Je >nsubj kdo >advmod proti >punct ?	7	32.5	ABCD	4	Je	A[Je] B[kdo] C[proti]D[?] 	1.50	0.06	2	1.00	1.00	1.00
Kdo <nsubj je >advmod za >punct ?	7	32.5	ABCD	4	je	A[Kdo] B[je] C[za]D[?] 	1.00	0.69	2	1.00	1.00	1.00
Ugotovimo >obj sklepčnost >punct !	5	23.2	ABC	3	Ugotovimo	A[Ugotovimo] B[sklepčnost]C[!] 	1.00	0.00	2	1.00	1.00	1.00
( <punct sta >punct )	3	13.9	ABC	3	sta	A[(]B[sta]C[)] 	0.00	0.00	2	1.00	1.00	1.00
Zakaj >punct ?	3	13.9	AB	2	Zakaj	A[Zakaj]B[?] 	0.00	0.00	2	1.00	1.00	1.00
""""	2	9.3	A	1	""""	"A[""] "	0.00	0.00	1	1.00	1.00	1.00
( <punct 3 <nummod poslanci >punct . >punct )	2	9.3	ABCDE	5	poslanci	A[(]B[3] C[poslanci]D[.] E[)] 	1.00	0.55	2	1.00	1.00	1.00
( <punct Telefoto >appos (: <punct Reuters) >punct )	2	9.3	ABCDE	5	Telefoto	A[(]B[Telefoto]C[:] D[Reuters]E[)] 	2.00	0.35	3	1.00	1.00	1.00
( <punct gm >punct )	2	9.3	ABC	3	gm	A[(]B[gm]C[)] 	0.00	0.00	2	1.00	1.00	1.00
( <punct mk >punct )	2	9.3	ABC	3	mk	A[(]B[mk]C[)] 	0.00	0.00	2	1.00	1.00	1.00
( <punct ng >punct )	2	9.3	ABC	3	ng	A[(]B[ng]C[)] 	0.00	0.00	2	1.00	1.00	1.00
"("" <punct salomon.si >punct "") <nsubj je <cop zaščitena <amod blagovna <amod znamka >parataxis (, <punct kakršnokoli <det povzemanje >conj (, <punct kopiranje) >conj (ali <cc reproduciranje))"	2	9.3	ABCDEFGHIJKLMN	14	znamka	"A[""]B[salomon.si]C[""] D[je] E[zaščitena] F[blagovna] G[znamka]H[,] I[kakršnokoli] J[povzemanje]K[,] L[kopiranje] M[ali] N[reproduciranje] "	2.44	1.18	4	1.00	1.00	1.00
Copyright >nmod (Salomon >nmod (d. >fixed o. >fixed o.)) >parataxis (, <punct (vse <det avtorske <amod pravice) <nsubj pridržane) >punct .	2	9.3	ABCDEFGHIJK	11	Copyright	A[Copyright] B[Salomon] C[d.]D[o.]E[o.]F[,] G[vse] H[avtorske] I[pravice] J[pridržane]K[.] 	2.25	0.23	4	1.00	1.00	1.00
Hvala >punct .	2	9.3	AB	2	Hvala	A[Hvala]B[.] 	0.00	0.00	2	1.00	1.00	1.00
