row_no,sent_id,sentence,STARK Number of nodes,SyntComplex # tokens,nodes match?,STARK MDD,SyntComplex MDD raw,SyntComplex MDD rounded like STARK,MDD match?,STARK NDD,SyntComplex NDD raw,SyntComplex NDD rounded like STARK,NDD match?,STARK Max depth,SyntComplex MAXIMUM_TREE_DEPTH,Max depth match?,STARK N clauses,SyntComplex # clauses,N clauses match?,STARK N T-units,SyntComplex # T-units,N T-units match?,STARK Clauses/T-unit,SyntComplex Clauses/T-unit raw,SyntComplex Clauses/T-unit rounded like STARK,Clauses/T-unit match?,STARK example,STARK tree,mismatch note
1,ssj487.2610.9286,"Vlada Republike Slovenije dodeli sredstva Ministrstvu za kmetijstvo in gozdarstvo, ki jih v skladu s programom sanacije škode po suši iz leta 1993 dodeli občinam na podlagi deleža ocenjene škode v vrednosti kmetijske proizvodnje, ki jo je prizadela suša posameznim upravičencem.",44,44,yes,3.02,3.025,3.02,yes,1.43,1.4306758161341089,1.43,yes,9,9,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[Vlada] B[Republike] C[Slovenije] D[dodeli] E[sredstva] F[Ministrstvu] G[za] H[kmetijstvo] I[in] J[gozdarstvo]K[,] L[ki] M[jih] N[v] O[skladu] P[s] Q[programom] R[sanacije] S[škode] T[po] U[suši] V[iz] W[leta] X[1993] Y[dodeli] Z[občinam] A[na] B[podlagi] C[deleža] D[ocenjene] E[škode] F[v] G[vrednosti] H[kmetijske] I[proizvodnje]J[,] K[ki] L[jo] M[je] N[prizadela] O[suša] P[posameznim] Q[upravičencem]R[.] ","(Vlada >nmod (Republike >nmod Slovenije)) <nsubj dodeli >obj sredstva >iobj (Ministrstvu >nmod (za <case kmetijstvo >conj (in <cc gozdarstvo)) >acl (, <punct ki <mark jih <obj (v <case skladu >nmod (s <case programom >nmod (sanacije >nmod škode >nmod (po <case suši)) >nmod (iz <case leta >nummod 1993))) <obl dodeli >iobj občinam >obl (na <case podlagi >nmod (deleža >nmod (ocenjene <amod škode >nmod (v <case vrednosti >nmod (kmetijske <amod proizvodnje)) >acl (, <punct ki <mark jo <obj je <aux prizadela >nsubj suša >iobj (posameznim <amod upravičencem))))))) >punct .",
2,ssj487.2610.9287,Občine dodelijo sredstva upravičencem na podlagi njihovega deleža v skupno ugotovljeni škodi po suši.,15,15,yes,1.85,1.8461538461538463,1.85,yes,1.02,1.015943796124332,1.02,yes,6,6,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Občine] B[dodelijo] C[sredstva] D[upravičencem] E[na] F[podlagi] G[njihovega] H[deleža] I[v] J[skupno] K[ugotovljeni] L[škodi] M[po] N[suši]O[.] ,Občine <nsubj dodelijo >obj sredstva >iobj upravičencem >obl (na <case podlagi >nmod (njihovega <det deleža >nmod (v <case (skupno <advmod ugotovljeni) <amod škodi >nmod (po <case suši)))) >punct .,
3,ssj488.2611.9288,"JANEZ BEŠTER: Slovenija potrebuje več urejenih informacij na internetu, kot so kvalitetni širši ali specializirani portali.",19,19,yes,3.07,3.066666666666667,3.07,yes,1.04,1.0381528613812703,1.04,yes,6,6,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[JANEZ] B[BEŠTER]C[:] D[Slovenija] E[potrebuje] F[več] G[urejenih] H[informacij] I[na] J[internetu]K[,] L[kot] M[so] N[kvalitetni] O[širši] P[ali] Q[specializirani] R[portali]S[.] ","(JANEZ >flat BEŠTER >punct :) <parataxis Slovenija <nsubj potrebuje >obj (več <det urejenih <amod informacij >nmod (na <case internetu) >acl (, <punct kot <mark so <cop kvalitetni <amod (širši >conj (ali <cc specializirani)) <amod portali)) >punct .",
4,ssj488.2611.9289,"Škoda je, da slovenski uporabniki iščejo informacije na tujih straneh.",12,12,yes,2.22,2.2222222222222223,2.22,yes,0.30,0.300104592450338,0.30,yes,4,4,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Škoda] B[je]C[,] D[da] E[slovenski] F[uporabniki] G[iščejo] H[informacije] I[na] J[tujih] K[straneh]L[.] ","Škoda >cop je >csubj (, <punct da <mark (slovenski <amod uporabniki) <nsubj iščejo >obj informacije >obl (na <case tujih <amod straneh)) >punct .",
5,ssj488.2611.9290,"Zdi se mi, da v Sloveniji ne znamo pravilno uporabiti vseh pretokov informacij, ki prihajajo iz zmogljivih omrežij.",21,21,yes,2.29,2.2941176470588234,2.29,yes,0.59,0.5862583699546778,0.59,yes,7,7,yes,4.00,4,yes,1.00,1,yes,4.00,4.0,4.00,yes,"A[Zdi] B[se] C[mi]D[,] E[da] F[v] G[Sloveniji] H[ne] I[znamo] J[pravilno] K[uporabiti] L[vseh] M[pretokov] N[informacij]O[,] P[ki] Q[prihajajo] R[iz] S[zmogljivih] T[omrežij]U[.] ","Zdi >expl se >obj mi >csubj (, <punct da <mark ne <advmod znamo >xcomp ((v <case Sloveniji) <obl pravilno <advmod uporabiti >obj (vseh <det pretokov >nmod informacij >acl (, <punct ki <mark prihajajo >obl (iz <case zmogljivih <amod omrežij))))) >punct .",
6,ssj488.2611.9291,Če uporabim prispodobo.,4,4,yes,1.00,1.0,1.00,yes,0.69,0.6931471805599453,0.69,yes,2,2,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Če] B[uporabim] C[prispodobo]D[.] ,Če <mark uporabim >obj prispodobo >punct .,
7,ssj488.2611.9292,"V Sloveniji imamo na tem področju zlate cevi in pipe, nismo pa se vprašali ali imamo kvaliteten izvir vode.",21,21,yes,2.33,2.3333333333333335,2.33,yes,1.15,1.1471941628949336,1.15,yes,5,5,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[V] B[Sloveniji] C[imamo] D[na] E[tem] F[področju] G[zlate] H[cevi] I[in] J[pipe]K[,] L[nismo] M[pa] N[se] O[vprašali] P[ali] Q[imamo] R[kvaliteten] S[izvir] T[vode]U[.] ","(V <case Sloveniji) <obl imamo >obl (na <case tem <det področju) >obj (zlate <amod cevi >conj (in <cc pipe)) >parataxis (, <punct nismo <aux pa <advmod se <expl vprašali >ccomp (ali <mark imamo >obj (kvaliteten <amod izvir >nmod vode))) >punct .",
8,ssj488.2612.9293,Zakonodaja in trg delovne sile sta med seboj tesno povezana.,11,11,yes,2.56,2.5555555555555554,2.56,yes,1.31,1.3116351965722024,1.31,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Zakonodaja] B[in] C[trg] D[delovne] E[sile] F[sta] G[med] H[seboj] I[tesno] J[povezana]K[.] ,(Zakonodaja >conj (in <cc trg >nmod (delovne <amod sile))) <nsubj sta <cop (med <case seboj) <nmod tesno <advmod povezana >punct .,
9,ssj488.2612.9294,Trenutna zakonodaja ne odraža zahtev in potreb industrijskih podjetij.,10,10,yes,1.38,1.375,1.38,yes,1.41,1.4144142202813288,1.41,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Trenutna] B[zakonodaja] C[ne] D[odraža] E[zahtev] F[in] G[potreb] H[industrijskih] I[podjetij]J[.] ,(Trenutna <amod zakonodaja) <nsubj ne <advmod odraža >obj (zahtev >conj (in <cc potreb >nmod (industrijskih <amod podjetij))) >punct .,
10,ssj488.2612.9295,"Delodajalci želimo mehanizme, s katerimi bi lahko uravnavali in sproti zadovoljevali potrebe po delovni sili in jasno opredeljene pravice ter dolžnosti delavcev in delodajalcev.",26,26,yes,2.04,2.0434782608695654,2.04,yes,1.20,1.1996673124636386,1.20,yes,10,10,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[Delodajalci] B[želimo] C[mehanizme]D[,] E[s] F[katerimi] G[bi] H[lahko] I[uravnavali] J[in] K[sproti] L[zadovoljevali] M[potrebe] N[po] O[delovni] P[sili] Q[in] R[jasno] S[opredeljene] T[pravice] U[ter] V[dolžnosti] W[delavcev] X[in] Y[delodajalcev]Z[.] ","Delodajalci <nsubj želimo >obj (mehanizme >acl (, <punct (s <case katerimi) <obl bi <aux lahko <advmod uravnavali >conj (in <cc sproti <advmod zadovoljevali >obj (potrebe >nmod (po <case delovni <amod sili) >conj (in <cc (jasno <advmod opredeljene) <amod pravice >conj (ter <cc dolžnosti >nmod (delavcev >conj (in <cc delodajalcev)))))))) >punct .",
